ISBN,title,description,ratings
9788478888566,Operating System Concepts,"A comprehensive and well-established textbook that covers all aspects of operating systems, including processes, memory management, file systems, and security.",1
9780262041606,Artificial Intelligence II,Artificial Intelligence (AI) is a field of computer science that focuses on developing algorithms and systems capable of performing tasks that typically require human-level intelligence.,3
9780415586719,Big Data,Big Data refers to the massive amounts of structured and unstructured data that are generated and processed by modern computer systems.,4
9780596527679,Deep Learning,Deep Learning is a subset of machine learning that uses artificial neural networks to learn complex representations of data.,2
9781119613486,Natural Language Processing,"Natural Language Processing (NLP) is a branch of AI that focuses on the interaction between computers and human language, including tasks such as text analysis and language translation.",1
9780321356680,Modern Operating Systems,"Operating Systems (OS) are a collection of software that manages computer hardware resources, provides common services for computer programs, and facilitates communication between software and hardware components.",3
9780321965516,Machine Learning,"Machine Learning (ML) is a field of AI that involves training algorithms to automatically learn patterns and make predictions from data, without being explicitly programmed.",4
9780444537970,Data Analytics,"Data Analytics is the process of extracting insights and knowledge from data using statistical and computational techniques, and using that knowledge to make informed decisions or take actions. It involves tasks such as data cleaning, data transformation, data visualization, and statistical analysis, to reveal patterns and relationships in the data.",2
9780132870407,Artificial Intelligence: Models and tools,Artificial Intelligence (AI) is a field of computer science that focuses on developing algorithms and systems capable of performing tasks that typically require human-level intelligence.,2
9781430236054,Data Science,"Data Science is a multidisciplinary field that involves the use of statistical and computational methods to extract knowledge and insights from data, and to inform decision-making processes.",3
9780321714114,Advanced Programming in the UNIX Environment,"Robotics is a branch of engineering and computer science that deals with the design, construction, operation, and use of robots. It involves the integration of mechanical, electrical, and software components to create autonomous or semi-autonomous machine that can perform a wide range of tasks, often in environments that are hazardous or difficult for humans to navigate.",5
9781933988187,Machine Learning Yearning,"This book provides a concise overview of the key concepts and techniques used in machine learning, making it an excellent resource for beginners or anyone looking to brush up on their knowledge.",4
9781608453706,Human Compatible: Artificial Intelligence and the Problem of Control,Artificial Intelligence (AI) is a field of computer science that focuses on developing algorithms and systems capable of performing tasks that typically require human-level intelligence.,5
9783642293214,Bayesian Reasoning and Machine Learning,"This book provides practical advice and best practices for developing machine learning systems, based on Andrew Ng's experience working on large-scale ML projects at Google and Baidu.",5
9780321514965,"The Design and Implementation of the FreeBSD Operating System,","The operating system also manages system resources such as memory, disk space, and CPU usage, ensuring that each application gets the resources it needs to run efficiently. Examples of operating systems include Windows, macOS, Linux, and Android.",4
9780441172719,Operating Systems,"Three Easy Pieces"" by Remzi Arpaci-Dusseau and Andrea Arpaci-Dusseau - A concise and accessible introduction to operating systems, covering key topics like processes, memory, and file systems.",4
9780439785969,Artificial Intelligence,"A Modern Approach"" by Stuart Russell and Peter Norvig - This book is widely regarded as the definitive AI textbook and covers a broad range of topics, including machine learning, natural language processing, robotics, and more.",2
9780375758133,Reinforcement Learning,"An Introduction"" by Richard Sutton and Andrew Barto - This book provides an in-depth introduction to reinforcement learning, which is a type of machine learning that involves learning through trial and error.",3
9780141439518,The Hundred-Page Machine Learning Book,"This book provides a concise overview of the key concepts and techniques used in machine learning, making it an excellent resource for beginners or anyone looking to brush up on their knowledge.",5
9780451524935,Hadoop: The Definitive Guide,"This book provides a comprehensive introduction to Hadoop, a popular open-source big data platform that is widely used for distributed storage and processing of large datasets.",3
9780141187761,Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking,"This book provides an introduction to data science and machine learning techniques, with a focus on practical applications and business use case",4
9780393961478,Mining of Massive Datasets,"introduction to the principles and techniques of mining large datasets, with a focus on scalability and efficiency.",5